GeneName	NV_controlLung86	NV_controlLung87	NV_controlLung88	NV_controlLung89	NV_fer1Lung2	NV_fer1Lung3	NV_fer1Lung4	NV_fer1Lung10	NV_vehLung1	NV_vehLung2	NV_vehLung3	NV_vehLung4
Gsc2	0	0	0	0	0	0	0	0	0	0	0	0
Ess2	398	380	375	337	227	427	552	1539	459	374	296	384
Scarf2	949	771	832	883	471	852	1190	3462	1312	1021	531	1099
Foxo3	1521	1056	879	696	740	805	1013	4490	1578	1568	808	622
Sesn1	1305	1171	1135	1183	907	1113	1611	4799	1138	1274	770	1157
Cep57l1	137	181	163	166	127	255	275	901	260	258	169	229
Cd164	6359	6665	5883	5825	4140	8517	10246	27346	9336	8208	5751	7078
Smpd2	422	417	393	395	266	483	545	1629	613	481	268	555
Mical1	776	736	709	745	472	1151	1374	3128	1104	997	724	940
Zbtb24	252	259	265	225	157	272	295	876	327	249	170	236
Fig4	665	729	641	692	472	867	1015	2753	898	811	582	607
Sec63	3066	3631	3021	3043	2115	3775	4877	12556	4250	3814	2370	3117
Sobp	21	10	20	26	9	10	46	79	16	33	14	13
AABR07045462.1	0	0	1	0	0	0	1	1	0	0	0	0
Cd24	2941	2980	2803	2888	2013	2805	2839	11844	2343	5968	1684	1564
Atg5	782	846	761	747	475	894	1178	2914	1022	886	521	867
Prdm1	289	351	463	316	240	560	545	1452	312	355	316	324
Hace1	676	681	554	578	507	856	1111	3004	977	916	522	608
Ermap	16	9	30	15	11	14	16	29	11	3	17	8
Rtraf	2415	2413	2069	2141	1398	3018	3259	8731	3389	2884	1718	2808
Nid2	603	442	442	409	628	1140	1248	3225	1231	1038	639	1106
Grik2	6	2	1	4	7	19	17	2	10	15	8	19
AABR07044900.1	9	8	23	12	9	14	31	54	21	16	22	14
Tmem167b	0	0	3	1	2	2	2	2	1	1	1	0
Mypn	41	18	23	40	18	22	38	103	22	23	18	30
Atoh7	0	0	0	0	0	0	0	0	0	0	0	0
Pbld1	64	57	91	81	43	78	82	145	82	53	26	67
Dna2	767	793	792	700	485	943	1276	3738	898	920	583	784
Supv3l1	431	361	389	409	270	577	557	1718	695	554	341	496
Srgn	2910	2550	3017	2328	1594	3693	4887	9923	3208	2854	1998	3168
Kifbp	914	859	737	849	543	830	1125	3070	883	863	515	774
Ddx50	1335	1130	1134	1087	709	1326	1553	4243	1536	1456	768	1217
Ccar1	1725	1585	1509	1393	871	1848	2083	5721	1818	1805	1013	1556
Zup1	571	460	442	527	289	608	708	1939	728	635	358	615
Gprc6a	0	0	2	0	0	0	0	4	1	0	0	1
Vgll2	0	0	0	0	0	0	0	0	0	0	0	1
Ros1	559	725	519	481	202	325	476	1979	515	284	287	313
Dcbld1	624	682	579	550	455	677	925	2688	826	653	388	679
Gopc	1272	1248	1241	1189	734	1475	1770	4524	1432	1331	777	1259
Nepn	8	4	0	1	0	3	1	10	3	0	1	2
Nus1	1296	1279	1163	1285	708	1648	2023	5104	1776	1428	982	1404
Slc35f1	24	12	7	16	14	22	15	81	22	20	9	9
Cep85l	322	247	249	197	134	225	314	823	226	278	135	146
Asf1a	478	564	445	478	295	592	696	2124	598	521	332	503
Numa1	4312	4241	3706	3999	2335	3804	5228	13507	4061	3909	2642	3350
Nelfe	827	734	601	698	564	977	1119	3240	1208	1042	524	979
Skiv2l	729	833	714	781	581	1017	1244	3448	1119	1103	688	841
Dxo	221	201	212	195	126	244	327	957	262	308	197	277
Cyp21a1	10	3	1	0	5	11	17	45	13	18	6	21
Atf6b	1501	1583	1266	1392	1058	1695	2401	5633	2147	1917	1445	1825
Fkbpl	143	121	111	137	93	163	188	601	163	196	99	166
Prrt1	220	252	167	195	138	338	370	1050	444	302	245	303
Ppt2	647	583	486	640	437	767	1004	2551	890	733	536	769
Egfl8	115	102	92	91	62	91	121	275	151	95	66	104
Agpat1	1512	1472	1368	1559	879	1681	2390	5759	2183	1622	1072	1828
Rnf5	725	659	594	591	406	875	1038	2921	884	888	530	739
Ager	47249	62217	54558	59721	39018	48097	70134	200651	73236	44429	39447	44363
Pbx2	2149	2406	2249	2525	1154	2398	2875	8395	2759	2164	1355	2283
Gpsm3	490	491	518	488	348	736	916	2158	823	534	428	725
Notch4	2399	1723	1615	1761	972	1092	2037	4357	2202	1345	702	1417
Btnl7	3	1	1	2	1	0	3	3	1	2	0	0
RT1-Ba	1931	1838	1752	2041	1578	4088	4100	11782	3328	4346	1892	2462
RT1-DOb	196	183	166	183	149	423	343	972	312	457	198	236
Tap2	1433	1406	1450	1385	862	1536	1863	5059	1709	1718	1018	1534
Psmb8	2102	1989	1997	1375	1396	2018	2259	5428	2961	2009	1460	2581
Tap1	1307	1275	1367	1214	981	1808	2325	5423	2131	1877	1017	1820
Psmb9	1143	1071	1156	896	656	1180	1451	3777	1485	1268	757	1187
Brd2	4171	3916	3805	3787	2314	3907	4726	13548	4477	4134	2588	4014
Col11a2	151	188	142	139	69	40	110	295	123	75	46	87
Rxrb	993	1012	910	915	464	837	1100	3020	960	874	617	975
Slc39a7	0	0	0	0	0	0	0	0	0	0	0	0
Hsd17b8	363	372	322	318	187	318	464	1206	429	319	253	413
Ring1	473	507	470	442	297	439	657	1880	605	562	355	519
Vps52	1590	1384	1425	1951	1000	2151	3680	7241	2934	2467	1422	2363
Rps18	7598	7627	6926	7269	4893	11187	12292	34701	9945	9283	6061	9415
Pfdn6	496	487	476	450	291	665	633	1850	691	578	350	568
Rgl2	1496	1363	1253	1352	820	1384	2105	5075	1915	1439	926	1706
Zbtb22	4	0	2	0	2	0	2	3	3	3	1	1
Daxx	760	753	718	736	393	757	1052	2597	949	806	478	936
ENSRNOG00000000478	34	27	25	20	13	34	41	141	54	24	11	24
Kifc1	132	148	132	98	181	417	375	1615	394	351	186	384
Phf1	1604	1162	1083	1263	570	914	1206	3262	1500	1090	669	999
Cuta	661	682	593	660	383	820	1097	2444	870	752	478	832
Syngap1	373	328	313	331	254	444	567	1591	414	586	321	362
Bak1	715	931	733	752	580	1251	1656	3992	1426	1303	746	1257
Ggnbp1	20	25	18	25	6	9	25	34	19	17	7	20
Grm4	0	0	0	0	1	1	0	1	1	2	0	0
Hmga1	700	605	955	779	415	682	965	2408	1031	860	615	1009
Rps10	3421	3241	3108	2923	1860	3218	4257	11921	4262	3219	2350	4134
Spdef	133	159	156	132	64	105	179	511	94	130	75	132
Snrpc	459	479	451	417	316	515	666	1927	653	667	373	593
Uhrf1bp1	700	686	530	450	297	368	620	1581	464	507	424	472
Anks1a	4094	3624	3092	2619	2079	2155	3098	9037	3495	3054	1923	2386
Tcp11	34	25	19	24	21	42	29	142	36	80	11	44
Scube3	58	22	36	26	37	62	43	80	42	206	58	68
Zfp523	485	513	503	509	294	463	666	1836	638	553	380	504
Def6	225	231	238	226	167	308	404	1121	322	314	198	305
Ppard	860	923	762	744	591	711	969	3093	1239	983	572	808
Fance	341	371	282	335	163	338	398	1286	415	309	258	340
Rpl10a	6101	5687	5301	5477	3642	8066	8430	24959	8523	7147	4245	7201
Tead3	786	859	937	971	578	764	726	3295	1336	996	522	1039
Tulp1	28	18	23	22	9	13	8	67	17	2	11	17
Armc12	0	0	0	0	0	0	0	0	0	0	0	0
Clps	0	0	0	0	0	0	0	0	0	0	0	0
Srpk1	1627	1561	1424	1521	979	1887	2074	5897	2052	2101	1133	1781
Slc26a8	36	98	95	28	41	62	71	147	49	75	39	34
Mapk14	2148	2157	2114	2402	1356	2829	3350	9126	2808	2632	1717	2707
Mapk13	568	496	425	504	249	428	666	2547	808	699	467	480
Pxt1	2	5	3	3	4	6	9	9	8	1	5	1
Kctd20	1256	1260	1214	1450	996	1717	2130	5441	1761	1503	1070	1634
Stk38	1607	1781	1738	1513	896	2218	2344	5993	1860	1933	1037	1559
Srsf3	5078	4486	4007	4040	2493	5074	5715	15803	6071	4993	2744	4664
Cdkn1a	2683	1416	1033	1151	3092	3144	5358	13277	6021	5188	2314	4928
Cpne5	15	16	7	23	19	27	80	166	53	61	55	71
Ppil1	403	452	400	414	257	583	689	2232	613	593	351	566
RGD735065	1213	1236	1290	1195	859	1636	1936	5308	1907	1571	1032	1441
Pi16	1184	1170	720	1918	452	835	872	3943	715	2379	881	600
Mtch1	4162	4482	3956	4356	2612	5185	5942	18201	5856	4455	3036	4598
Fgd2	288	246	245	195	216	510	575	1403	457	475	307	506
Pim1	342	336	308	321	206	379	551	1071	534	463	290	388
Cmtr1	1434	1534	1430	1478	1134	1995	2263	6010	2246	1856	1234	1781
Mdga1	3	1	9	6	0	10	13	37	3	3	4	8
Btbd9	200	253	270	239	188	282	443	851	294	278	242	225
Glo1	1461	1385	1302	1341	1111	2282	2449	6729	2074	1897	1327	1859
Dnah8	8	7	19	15	11	17	55	8	42	2	2	0
Frk	242	267	371	297	173	472	541	1497	384	490	255	376
Nt5dc1	545	475	420	498	333	678	819	1984	693	638	415	456
Tspyl4	215	250	253	243	150	225	302	976	235	235	132	183
Tspyl1	0	0	0	0	0	0	0	3	3	0	0	0
Fam241b	332	351	302	325	216	384	521	1430	441	366	301	311
Col13a1	1800	1301	1427	1385	955	1297	1884	5203	1734	1307	864	1460
Nodal	0	0	0	0	5	3	1	16	5	2	2	22
Sar1a	4379	4389	3912	4043	2648	5116	6303	16704	6348	5268	2816	5000
Npffr1	0	1	0	0	0	0	0	4	1	0	0	0
Lrrc20	183	196	187	198	145	286	397	1032	334	312	200	239
Pald1	2110	1419	1061	927	1082	1060	1251	4220	1894	1592	824	1140
Prf1	893	1006	865	716	386	1160	957	2677	1029	583	275	667
Adamts14	201	172	164	138	125	209	259	581	308	212	95	285
Tbata	1	0	3	1	0	2	3	11	9	11	1	3
Sgpl1	1593	1691	1467	1446	1438	3183	3966	8610	3206	2992	2514	2503
Pcbd1	4	2	0	0	0	4	5	3	2	1	1	2
Unc5b	2148	1955	2101	1842	1620	2337	2877	5609	3598	2373	1371	2378
Slc29a3	330	356	336	297	271	647	756	1956	651	511	410	629
Vsir	2015	1973	1957	1809	1359	3130	3643	7901	3076	2659	1961	2569
Psap	26963	27773	25116	26423	23361	52611	65767	153637	46870	45064	43378	38998
Chst3	762	458	380	329	400	435	785	2566	1121	905	374	570
AC096404.1	0	0	0	0	0	0	0	0	0	0	0	0
Anapc16	695	588	506	540	459	700	692	2514	809	739	411	735
Marcks	1926	2087	1853	2062	1463	3178	3635	10044	4282	2438	1404	3560
Calhm4	0	0	0	0	0	0	0	0	0	0	0	0
Cdc40	812	826	761	720	469	961	1100	2806	864	821	539	798
Ddo	46	67	37	72	37	59	47	217	53	130	58	49
Cdk19	1343	1398	1448	1451	1107	2436	2994	6648	1926	1584	1032	1495
Amd1	1143	1075	1059	1088	813	1937	2126	4168	1570	1322	830	1615
Gtf3c6	386	478	464	407	250	611	792	1944	708	584	349	526
Rpf2	248	205	285	177	171	356	365	952	393	445	195	372
Slc16a10	110	93	54	91	78	141	224	553	161	127	116	96
RGD1310495	5	2	1	1	0	1	3	17	5	2	1	1
Naglt1	0	0	0	0	0	0	0	5	2	3	1	0
Rev3l	2005	1448	1464	1248	1019	1745	2300	6296	1942	1684	944	1489
Traf3ip2	1304	928	884	940	470	984	1281	3703	1369	997	566	989
Fyn	1789	1558	1753	1433	1199	2026	2717	6369	2113	2172	1224	1855
Ccn6	7	3	1	2	1	7	10	19	2	3	1	3
Tube1	99	91	83	93	67	152	112	610	189	153	88	107
Lama4	3379	2520	2189	2062	1927	3876	4283	10653	4608	3440	2273	3110
Hdac2	1567	1634	1404	1510	981	1814	2249	6120	2153	1962	1063	1598
Hs3st5	0	1	2	5	1	5	1	5	0	3	1	0
Pcdh15	0	0	0	0	0	0	5	0	1	2	0	0
RGD1559903	0	0	0	0	0	0	0	0	0	0	0	0
Ipmk	809	734	812	775	521	907	1300	2933	809	842	551	699
Cisd1	682	570	551	529	478	761	1023	2737	930	825	521	801
Ube2d1	233	291	251	263	153	332	472	1039	317	267	209	301
Tfam	584	670	586	602	309	695	774	2442	686	698	453	696
Bicc1	961	865	802	787	537	1136	1318	3654	1321	1303	624	1333
Mdga2	29	50	66	17	42	80	127	269	78	52	53	69
AABR07044783.1	0	0	0	0	0	0	0	0	0	0	0	0
Cdk1	216	239	221	144	344	931	839	3410	811	709	396	792
Rhobtb1	900	637	511	500	570	742	733	2303	1000	1055	627	674
Cabcoco1	102	143	117	173	109	174	161	592	181	291	96	122
Arid5b	944	1054	1092	972	696	1127	1461	3949	993	1032	654	674
Rtkn2	0	0	0	0	0	0	0	0	0	0	0	0
Zfp365	1193	1548	1217	1319	915	1188	1667	4251	1368	1175	852	959
Egr2	307	133	100	131	60	281	270	607	391	150	96	149
Nrbf2	304	261	213	230	133	262	359	897	328	323	140	239
Reep3	5082	5003	4764	4126	3523	5828	8005	21037	6332	6009	3614	4471
Jmjd1c	3433	2794	2790	2571	1761	3270	3917	10937	4075	3753	2251	2361
Nr5a2	4	15	16	9	5	22	21	67	21	4	3	8
Ptprc	5289	5211	5302	4491	3046	8979	9433	21759	6810	6915	4558	4066
Nek7	2862	3384	2930	3122	2154	3777	5344	13085	3387	4359	2428	3129
Acacb	753	699	517	626	309	491	728	2238	751	886	396	435
Hps4	557	544	483	569	226	385	520	1452	478	509	318	407
Srrd	193	141	129	151	83	177	244	544	303	227	110	163
Tfip11	734	850	840	816	518	917	1025	2979	943	924	473	899
Tpst2	809	758	643	583	374	610	865	2209	911	666	369	627
Pitpnb	2031	2059	2053	2125	1387	2508	3123	8293	3019	2528	1495	2440
Foxn4	5	3	1	5	14	12	13	59	5	31	5	13
Ung	126	175	124	150	81	230	255	778	206	231	139	221
Svop	0	0	0	0	39	47	106	195	56	49	9	106
Ssh1	2174	2759	2576	2743	1643	2612	3374	8114	2980	2418	1708	2114
Coro1c	3659	3814	3327	3028	2810	4396	5642	15583	6251	5011	3142	4321
Selplg	1258	1332	1261	1088	863	2362	2608	5586	1800	1822	1336	1629
Tmem119	404	278	289	299	298	627	848	2003	964	652	322	999
Iscu	1434	1315	1105	1179	886	1639	2073	5396	2135	1674	1075	1626
Sart3	800	857	768	818	436	1030	1197	2984	985	985	583	921
Cmklr1	2975	2433	2099	2019	1838	2668	3295	10628	3492	3116	1608	3168
Sgsm1	29	12	20	19	22	25	28	102	22	20	13	14
AABR07033045.1	8	5	6	10	1	5	10	14	8	5	2	3
Pou1f1	2	1	0	0	0	0	1	0	0	0	0	0
Htr1f	0	0	0	0	0	2	3	2	1	0	0	0
Cggbp1	2599	2626	2344	2284	1529	2992	3899	11293	2729	2874	1743	2534
MGC95208	305	296	317	214	187	335	373	1078	326	367	194	294
Olr1671	0	0	0	0	0	0	0	0	0	0	0	0
Clic2	740	653	577	400	500	2079	691	1520	969	1344	595	581
Tmlhe	265	303	214	367	185	364	512	1428	502	351	210	361
Olr1695	0	0	0	0	0	0	0	0	0	0	0	0
Olr1730	0	0	0	0	0	0	0	0	0	0	0	0
RT1-M3-1	747	695	541	731	419	786	1011	2676	1046	885	516	724
Olr1743	0	0	0	0	0	0	0	1	0	1	0	0
AC112568.1	17	14	17	6	10	18	9	41	2	52	24	2
Ubd	0	0	0	0	0	0	0	0	3	0	0	0
Gabbr1	985	805	856	896	582	850	1025	3052	1513	926	586	952
Mog	0	0	0	0	0	0	0	5	0	1	0	1
RT1-S3	3896	3292	3126	4592	2739	3325	5023	12930	5063	3909	1711	3357
Znrd1as1	38	53	29	38	47	38	62	163	81	73	29	36
Polr1h	329	319	239	301	177	390	427	1180	443	386	222	363
Ppp1r11	1109	1107	1032	1099	643	1464	1530	4354	1613	1367	755	1187
Rnf39	204	243	230	276	167	185	259	786	218	138	134	139
Trim10	17	9	13	13	10	9	11	24	6	12	3	8
Trim40	0	0	0	0	0	1	0	0	0	0	0	0
Trim39	134	124	100	126	95	137	150	576	178	189	102	124
Rpp21	0	0	0	0	0	0	0	0	0	0	0	0
RT1-N3	628	569	726	363	395	809	861	2944	1135	648	448	961
Ranbp2	5609	4739	4657	4227	3266	6369	7097	19443	6230	6760	3937	4577
Gnl1	842	840	821	838	506	930	1342	3379	1102	1020	625	1039
Abcf1	1652	1790	1523	1517	1012	1999	2549	6835	2424	1965	1276	2210
Man1a1	2172	2263	1783	2179	1050	2947	3173	11164	3094	2609	1818	1828
Msl3l2	128	158	128	124	82	171	199	665	268	128	131	178
Tbc1d32	194	199	152	177	116	226	283	802	170	208	134	149
Mrps18b	358	471	390	451	201	632	599	1735	760	584	327	617
Gja1	1810	2581	2326	1818	1629	3196	4539	9933	4381	3827	2068	3111
Hsf2	366	376	362	317	243	414	523	1447	411	393	232	350
Atat1	525	377	379	377	268	390	572	1651	614	608	299	424
Pkib	329	290	275	249	130	419	581	1467	739	489	311	390
Fabp7	0	0	0	1	0	0	2	5	0	0	1	1
Smpdl3a	2064	2101	1911	1954	1687	4285	6400	12804	3997	4008	5081	2935
Nrm	1861	1514	1509	1214	1105	2250	2689	7129	2511	2277	1564	2298
Gcc2	1427	1527	1556	1553	924	1853	1985	5112	1401	1869	1047	1145
Dse	539	537	514	449	435	1037	1030	2723	1046	1008	524	950
Calhm5	7	5	3	8	3	8	5	12	8	21	5	3
Flot1	1504	1812	1514	1599	1100	2084	2695	7053	2249	1961	1356	2053
Ier3	830	340	323	370	317	505	710	1502	930	817	366	673
Gtf2h4	160	168	167	127	93	188	217	614	209	154	114	190
Vars2	374	348	292	356	160	345	469	1447	364	434	285	333
Lta	7	8	11	4	3	15	14	10	7	21	9	8
Nfkbil1	141	132	108	96	75	124	166	524	207	133	100	157
Atp6v1g2	2	1	3	2	3	7	2	12	5	5	1	0
Ddx39b	3918	3063	3056	3203	2011	4252	4405	13604	5367	4566	2488	4366
Ddah2	3	1	2	6	0	4	3	11	6	0	5	4
Ly6g5c	0	0	0	0	0	0	0	0	0	0	0	0
Csnk2b	1232	1378	1226	1297	760	1530	2005	5875	1834	1499	1007	1596
Gpank1	512	447	433	536	230	503	581	1732	506	491	274	477
Apom	21	26	19	19	13	39	38	89	45	35	25	27
Bag6	2866	2597	2466	2350	1654	2585	3522	8669	3097	2963	1857	2396
Prrc2a	6239	6214	5703	5457	3538	5806	8234	22166	7512	6639	4074	6081
Aif1	751	650	581	517	648	1534	1639	3786	1468	1530	1113	1598
Ncr3	5	5	5	5	10	11	11	14	5	7	6	8
Lst1	204	149	150	159	146	448	400	841	274	227	264	281
Msh5	15	4	12	8	15	15	28	99	47	26	18	35
Sapcd1	10	3	8	5	12	8	7	27	3	35	5	8
Vwa7	135	122	107	80	55	89	145	482	257	134	128	118
Zic3	0	0	0	0	0	0	0	0	2	0	0	0
ENSRNOG00000000866	1334	1064	1041	1043	682	1332	1582	4876	1285	1248	726	1092
Vars1	792	755	717	684	511	784	1012	2550	1050	1078	598	1126
Arhgef6	771	902	927	757	758	1515	1779	4294	1054	1215	947	947
Cd40lg	30	12	24	23	10	21	49	46	8	25	6	15
Brs3	1	0	1	0	1	0	0	0	0	0	0	0
Fhl1	12158	9262	8560	8475	8979	18165	18053	44328	23049	18594	10686	16328
Slc44a4	614	630	511	606	363	729	754	2763	690	1550	500	524
Slc9a6	1049	1092	1028	1032	763	1086	1493	4171	1204	1184	763	845
Auts2l1	139	133	88	84	62	119	184	438	173	168	66	153
Caln1	7	7	0	1	0	0	2	25	0	17	4	3
Sbds	2276	2235	2188	2326	1398	2274	2988	8115	2635	2312	1384	2184
AABR07011057.1	0	0	0	0	0	3	1	3	0	0	0	0
Zfp958l1	202	179	204	176	81	250	249	664	176	203	115	220
Tmem248	1175	1400	1221	1351	664	1567	1740	4798	1921	1443	837	1382
Fry	2356	2245	1773	1893	1493	2519	2994	7292	2681	2283	1448	1562
Rabgef1	689	743	683	645	398	652	806	2288	771	639	365	580
AABR07070892.1	0	0	0	0	0	0	0	0	0	0	0	0
Rxfp2	18	9	12	11	13	27	14	68	13	54	9	14
Tpst1	294	294	206	278	191	397	431	1118	259	453	278	390
Vkorc1l1	1029	900	811	857	583	1101	1292	3579	1297	1138	693	908
Hsph1	1796	2176	1689	1791	1056	2261	2363	5886	1903	2721	1436	2174
Asl	497	481	438	447	316	550	744	2020	609	543	436	534
Wdr95	35	31	33	31	26	37	46	227	51	143	37	58
Tex26	75	56	70	70	54	87	120	366	150	92	53	70
